City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,belyy yar,53.6039,91.3903,13.94,88,0,0.0,RU,1689805171
271,tolanaro,-25.0319,46.9987,18.94,87,0,2.73,MG,1689805171
272,siracusa,37.0881,15.2792,30.18,51,1,1.86,IT,1689805172
273,kangiwa,12.5521,3.8187,31.19,54,58,6.26,NG,1689805172
274,altai,46.3722,96.2583,13.86,47,1,0.2,MN,1689805172
275,tamanrasset,22.785,5.5228,26.95,11,0,3.09,DZ,1689805172
276,constitucion,-35.3333,-72.4167,13.32,77,100,0.45,CL,1689805172
277,queenstown,-31.8976,26.8753,3.74,83,48,1.27,ZA,1689805173
278,namibe,-15.1961,12.1522,16.63,87,0,1.88,AO,1689805173
279,nyachera,-0.9,30.4167,18.64,53,68,0.82,UG,1689805173
280,yuzhno-kurilsk,44.0306,145.8556,15.53,91,89,1.97,RU,1689805174
281,zhaoqing,23.0512,112.4597,25.17,95,81,1.35,CN,1689805174
282,rakops,-21.0167,24.3333,15.22,25,0,2.73,BW,1689805174
283,mek'ele,13.4967,39.4753,17.04,85,100,2.17,ET,1689805174
284,twon-brass,4.3151,6.2418,25.76,87,83,5.64,NG,1689805174
285,santa lucia,27.9117,-15.5407,19.62,73,20,11.32,ES,1689805175
286,astrakhan,46.3497,48.0408,22.93,60,0,4.0,RU,1689805175
287,yanam,16.7333,82.2167,25.93,78,100,4.56,IN,1689805175
288,ghat,24.9647,10.1728,31.24,20,0,5.95,LY,1689805175
289,manacapuru,-3.2997,-60.6206,30.2,56,67,0.77,BR,1689805176
290,lemvig,56.5486,8.3102,13.41,86,52,7.05,DK,1689805176
291,kruisfontein,-34.0033,24.7314,7.71,75,72,1.14,ZA,1689805176
292,ulladulla,-35.35,150.4667,7.75,75,71,2.16,AU,1689805176
293,palu,-0.8917,119.8707,23.92,95,34,1.22,ID,1689805176
294,mitsamiouli,-11.3847,43.2844,25.1,73,4,2.16,KM,1689805177
295,usol'ye,59.4268,56.6808,14.84,98,99,2.08,RU,1689805177
296,manggar,-2.8833,108.2667,26.46,83,100,5.54,ID,1689805177
297,karratha,-20.7377,116.8463,16.83,65,29,4.69,AU,1689805177
298,nago,26.5881,127.9761,28.47,81,68,2.17,JP,1689805178
299,funaishikawa,36.4667,140.5667,25.0,80,6,1.85,JP,1689805178
300,brisas de zicatela,15.8369,-97.0419,33.29,55,40,4.12,MX,1689805178
301,flying fish cove,-10.4217,105.6791,23.82,78,100,6.69,CX,1689805178
302,khorixas,-20.3667,14.9667,14.05,28,0,0.14,NA,1689805178
303,ciudad lazaro cardenas,17.9583,-102.2,32.01,66,40,6.1,MX,1689805158
304,nikel,69.4128,30.222,9.1,95,100,6.92,RU,1689805179
305,venev,54.3553,38.2684,12.15,81,5,5.37,RU,1689805179
306,palatka,29.6486,-81.6376,35.23,50,87,3.96,US,1689805179
307,mount gambier,-37.8333,140.7667,9.39,70,98,7.11,AU,1689805180
308,saint-francois,46.4154,3.9054,18.69,68,0,2.06,FR,1689805180
309,tralee,52.2704,-9.7026,11.18,86,70,1.94,IE,1689805180
310,kerikeri,-35.2268,173.9474,14.39,94,99,1.79,NZ,1689805180
311,laibin,23.7,109.2667,25.23,93,69,0.65,CN,1689805181
312,atar,20.5169,-13.0499,33.81,37,49,3.29,MR,1689805181
313,syas'stroy,60.1367,32.5691,14.57,86,27,4.67,RU,1689805181
314,xiuyan,40.2928,123.2744,23.08,79,3,0.15,CN,1689805181
315,morehead city,34.7229,-76.726,31.01,86,0,8.23,US,1689805181
316,timbiras,-4.2553,-43.9406,26.96,52,53,1.09,BR,1689805182
317,mejit,10.2753,170.8646,28.23,83,100,8.84,MH,1689805182
318,dosso,13.049,3.1937,33.27,45,19,5.88,NE,1689805182
319,fortuna,40.5982,-124.1573,19.25,87,75,4.12,US,1689805182
320,gisborne,-38.6533,178.0042,11.9,73,54,2.85,NZ,1689805183
321,lompoc,34.6391,-120.4579,33.77,73,75,4.12,US,1689805183
322,arica,-18.475,-70.3042,20.75,77,75,4.63,CL,1689805021
323,geraldton,-28.7667,114.6,9.23,81,100,5.14,AU,1689805183
324,bikenibeu village,1.3673,173.1241,30.98,70,40,4.63,KI,1689805183
325,magadan,59.5667,150.8,17.65,69,11,2.74,RU,1689805184
326,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,3.09,EC,1689805184
327,dunedin,-45.8742,170.5036,6.81,77,100,2.81,NZ,1689804930
328,berezovyy,51.6667,135.7,25.92,49,48,0.96,RU,1689805184
329,santa terezinha,-29.9002,-50.0904,13.73,71,75,6.22,BR,1689805184
330,dundalk,39.2507,-76.5205,31.42,73,20,3.6,US,1689805185
331,chos malal,-37.3781,-70.2709,10.52,62,8,3.36,AR,1689805185
332,paracuru,-3.41,-39.0306,27.28,76,15,6.96,BR,1689805185
333,swan hill,-35.3378,143.5544,5.75,66,97,5.4,AU,1689805185
334,olyokminsk,60.3736,120.4264,11.65,93,99,1.29,RU,1689805185
335,mont-laurier,46.5501,-75.4993,22.79,58,89,1.49,CA,1689805186
336,midvagur,62.0511,-7.1939,7.46,93,100,8.23,FO,1689805186
337,ambon,-3.6954,128.1814,24.08,94,40,2.06,ID,1689805186
338,malango,-2.9627,119.9001,18.93,97,74,0.88,ID,1689805186
339,great falls,47.5002,-111.3008,28.15,26,0,4.12,US,1689805049
340,mme-bafumen,6.3333,10.2333,17.12,96,97,1.23,CM,1689805187
341,kingston,17.997,-76.7936,32.53,62,20,9.26,JM,1689805013
342,rossosh',51.1209,38.5116,13.42,78,28,3.63,RU,1689805187
343,tateyama,34.9833,139.8667,26.96,91,31,3.58,JP,1689805187
344,porto novo,6.4965,2.6036,26.9,89,25,4.09,BJ,1689805187
345,alice springs,-23.7,133.8833,6.75,87,100,2.06,AU,1689805188
346,cooma,-36.2333,149.1333,0.83,61,96,1.54,AU,1689805188
347,santana do livramento,-30.8908,-55.5328,7.61,83,93,3.91,BR,1689805188
348,takoradi,4.8845,-1.7554,24.6,92,84,3.84,GH,1689805188
349,kolonia,50.9333,6.95,18.13,71,20,3.6,DE,1689805001
350,amahai,-3.3333,128.9167,24.62,87,12,2.06,ID,1689805189
351,kavieng,-2.5744,150.7967,26.05,82,100,3.84,PG,1689805189
352,ezhva,61.8128,50.7283,16.88,100,40,1.0,RU,1689805189
353,nizhneudinsk,54.9076,99.0276,12.15,80,100,0.21,RU,1689805189
354,vodnyy,63.5046,53.4095,16.67,96,45,3.55,RU,1689805164
355,waliso,8.5333,37.9833,14.23,93,100,1.11,ET,1689805190
356,sovetskiy,61.3614,63.5842,15.68,95,80,2.45,RU,1689805190
357,campoverde,-8.4753,-74.8058,26.83,65,86,1.16,PE,1689805190
358,kainan,34.15,135.2,26.02,87,23,2.68,JP,1689805191
359,haiku-pauwela,20.9219,-156.3051,26.39,93,75,7.2,US,1689805191
360,pisco,-13.7,-76.2167,21.03,68,40,4.12,PE,1689805191
361,hami,42.8,93.45,27.86,20,0,3.95,CN,1689805191
362,mhamid,29.82,-5.72,34.9,8,0,5.14,MA,1689805192
363,merizo village,13.2658,144.6691,29.43,84,96,5.77,GU,1689805192
364,kouango,4.9934,19.9619,22.4,97,100,0.89,CF,1689805192
365,sao vicente,-23.9631,-46.3919,19.1,92,100,4.93,BR,1689805192
366,ulsteinvik,62.3432,5.8487,13.2,89,100,2.68,NO,1689805192
367,enewetak,11.3474,162.3373,28.63,76,97,6.38,MH,1689805193
368,san antonio de pale,-1.4014,5.6325,23.62,84,100,6.4,GQ,1689805193
369,san sebastian de la gomera,28.0916,-17.1133,24.2,83,0,4.12,ES,1689805193
370,yaransk,57.3033,47.8861,14.21,94,55,5.33,RU,1689805193
371,zyryanskoye,56.8306,86.6258,12.72,73,12,3.16,RU,1689805194
372,bojnurd,37.4747,57.329,21.97,56,2,2.06,IR,1689805194
373,itoman,26.1247,127.6694,29.01,84,40,3.09,JP,1689805194
374,nguigmi,14.2495,13.1092,33.53,36,21,4.29,NE,1689805194
375,sinjai,-5.1241,120.253,24.46,84,71,0.96,ID,1689805194
376,thames,-37.1333,175.5333,13.25,78,91,2.38,NZ,1689805195
377,meadow lakes,61.6247,-149.6011,18.54,78,100,1.54,US,1689805195
378,greymouth,-42.4667,171.2,8.83,86,100,3.67,NZ,1689805195
379,huarmey,-10.0681,-78.1522,22.08,72,23,4.36,PE,1689805195
380,calvi,42.5,8.8333,28.35,51,0,6.17,FR,1689805196
381,fish town,5.1964,-7.8756,22.28,98,99,2.13,LR,1689805196
382,aitape,-3.1374,142.3475,26.05,87,51,2.68,PG,1689805196
383,zvenigovo,55.9742,48.0181,14.53,82,96,6.56,RU,1689805196
384,zaozersk,69.4005,32.4476,10.67,96,100,6.37,RU,1689805197
385,tongouson,5.0214,120.1328,27.51,76,86,0.69,PH,1689805197
386,la mana,-0.9333,-79.2167,28.8,70,50,0.72,EC,1689805197
387,qobustan,40.0824,49.412,24.39,62,0,2.18,AZ,1689805197
388,saudarkrokur,65.7461,-19.6394,7.63,82,40,0.81,IS,1689805197
389,waingapu,-9.6567,120.2641,21.53,82,1,3.65,ID,1689805198
390,coahuayana de hidalgo,18.7,-103.6583,33.36,57,52,3.8,MX,1689805198
391,coquimbo,-29.9533,-71.3436,14.85,94,0,4.63,CL,1689804797
392,makrana,27.05,74.7167,29.27,70,55,3.38,IN,1689805198
393,san jose,37.3394,-121.895,33.72,48,0,6.69,US,1689804520
394,severo-yeniseyskiy,60.3725,93.0408,11.7,72,11,0.8,RU,1689805199
395,samokov,42.3333,23.55,21.28,56,0,2.48,BG,1689805199
396,lakatoro,-16.0999,167.4164,23.17,94,100,6.61,VU,1689805199
397,mexia,31.6799,-96.4822,39.76,25,0,5.66,US,1689805199
398,fomboni,-12.28,43.7425,24.8,74,5,3.9,KM,1689805200
399,san isidro de curuguaty,-24.5167,-55.7,17.97,65,15,1.37,PY,1689805200
400,muisne,0.6,-80.0333,27.02,83,59,3.48,EC,1689805201
401,zhumysker,49.3333,49.4,20.14,64,84,3.71,KZ,1689805201
402,cambria,35.5641,-121.0808,38.41,57,21,4.35,US,1689805202
403,kuanda,56.3161,116.0806,10.62,83,81,0.94,RU,1689805202
404,salalah,17.0151,54.0924,26.05,100,100,4.12,OM,1689804962
405,ancud,-41.8697,-73.8203,11.31,95,100,4.9,CL,1689805204
406,lewisburg,35.4492,-86.7889,25.48,83,0,3.6,US,1689805204
407,ierapetra,35.01,25.7353,27.61,56,0,3.5,GR,1689805205
408,porangatu,-13.4408,-49.1486,27.04,24,58,1.53,BR,1689805205
409,kushiro,42.975,144.3747,18.53,88,75,1.03,JP,1689805206
410,namsos,64.4662,11.4957,9.95,87,92,0.0,NO,1689805206
411,fisterra,42.9049,-9.2629,18.75,86,7,6.91,ES,1689805206
412,viqueque,-8.8673,126.3658,23.64,86,97,1.83,TL,1689805207
413,ahus,55.9167,14.2833,9.68,93,26,1.54,SE,1689805207
414,tamale,9.4008,-0.8393,25.76,79,92,2.82,GH,1689805207
415,labrador city,52.9463,-66.9114,18.95,63,100,2.57,CA,1689805134
416,pernio,60.2,23.1333,13.07,84,97,1.83,FI,1689805208
417,luderitz,-26.6481,15.1594,13.22,61,67,10.96,NA,1689805208
418,mount isa,-20.7333,139.5,15.87,82,100,0.0,AU,1689805208
419,kapuvar,47.5922,17.0289,19.14,76,76,2.89,HU,1689805208
